event_id,date,time,region,lat,lon,vessel_name,mmsi,imo,ship_type,event_type,risk_score,triggered_rules,nearest_infrastructure,distance_km,sources,confidence,notes
NBGM-20260715-0235,2026-07-15,16:47:04+00:00,Gulf of Finland,59.914333,28.663452,CARMA,461000252,9341081,tanker,sensitive_area_repeat_presence,6,"[{""rule_id"": ""ais_gap_6h"", ""points"": 2, ""evidence"": ""AIS reporting gap of 17.8 hours""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,59.3,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-1117,2026-07-15,16:31:37+00:00,Gulf of Finland,59.923058,28.627433,SOLARIS,461000255,9333436,tanker,ais_gap,7,"[{""rule_id"": ""ais_gap_6h"", ""points"": 2, ""evidence"": ""AIS reporting gap of 9.2 hours""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,57.1,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-1118,2026-07-15,16:31:37+00:00,Gulf of Finland,59.923058,28.627433,SOLARIS,461000255,9333436,tanker,identity_change,7,"[{""rule_id"": ""ais_gap_6h"", ""points"": 2, ""evidence"": ""AIS reporting gap of 9.2 hours""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,57.1,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-1119,2026-07-15,16:31:37+00:00,Gulf of Finland,59.923058,28.627433,SOLARIS,461000255,9333436,tanker,sensitive_area_repeat_presence,7,"[{""rule_id"": ""ais_gap_6h"", ""points"": 2, ""evidence"": ""AIS reporting gap of 9.2 hours""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,57.1,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0043,2026-07-15,16:30:15+00:00,Gulf of Finland,60.458375,28.047388,OSANA,667002072,9394935,tanker,ais_gap,9,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.0 km from pipeline NORD STREAM 1""}, {""rule_id"": ""ais_gap_18h"", ""points"": 4, ""evidence"": ""AIS reporting gap of 22.5 hours""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,0.0,digitraffic,low,Risk-score revision of existing research lead. Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0044,2026-07-15,16:30:15+00:00,Gulf of Finland,60.458375,28.047388,OSANA,667002072,9394935,tanker,sensitive_area_repeat_presence,9,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.0 km from pipeline NORD STREAM 1""}, {""rule_id"": ""ais_gap_18h"", ""points"": 4, ""evidence"": ""AIS reporting gap of 22.5 hours""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,0.0,digitraffic,low,Risk-score revision of existing research lead. Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0246,2026-07-15,16:30:15+00:00,Gulf of Finland,60.458375,28.047388,OSANA,667002072,9394935,tanker,pipeline_proximity,9,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.0 km from pipeline NORD STREAM 1""}, {""rule_id"": ""ais_gap_18h"", ""points"": 4, ""evidence"": ""AIS reporting gap of 22.5 hours""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,0.0,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0265,2026-07-15,15:59:21+00:00,Gulf of Finland,60.037117,29.39725,BRAVE M,312726000,9153496,cargo,ais_gap,6,"[{""rule_id"": ""ais_gap_6h"", ""points"": 2, ""evidence"": ""AIS reporting gap of 16.2 hours""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,85.9,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0266,2026-07-15,15:59:21+00:00,Gulf of Finland,60.037117,29.39725,BRAVE M,312726000,9153496,cargo,sensitive_area_repeat_presence,6,"[{""rule_id"": ""ais_gap_6h"", ""points"": 2, ""evidence"": ""AIS reporting gap of 16.2 hours""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,85.9,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0256,2026-07-15,15:48:00+00:00,Other Baltic,59.416342,18.49518,SANDHAMN,265547830,9309186,unknown,identity_change,3,"[{""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}]",EMODnet pipeline pipelines.3613,106.4,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0231,2026-07-15,15:36:27+00:00,Other Baltic,59.287723,18.706325,Unknown,265648120,,unknown,identity_change,4,"[{""rule_id"": ""ais_gap_18h"", ""points"": 4, ""evidence"": ""AIS reporting gap of 27.4 hours""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}]",EMODnet pipeline pipelines.3650,109.3,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0487,2026-07-15,15:10:55+00:00,Other High North,68.69813,15.977848,STAR,257075550,,service,cable_proximity,6,"[{""rule_id"": ""infra_proximity_10km"", ""points"": 1, ""evidence"": ""9.9 km from cable EMODnet cable pcablesnve.918""}, {""rule_id"": ""ais_gap_18h"", ""points"": 4, ""evidence"": ""AIS reporting gap of 23.4 hours""}, {""rule_id"": ""low_speed_near_infra_2h"", ""points"": 2, ""evidence"": ""Speed below 6 kn near schematic infrastructure for 4.5 hours""}]",EMODnet cable pcablesnve.918,9.9,barentswatch,low,Automated research lead for human review; not a confirmed incident.
